OID_,name,code,Population,Shape_Leng,Shape_Area
0,Whithorn,S20002046,750.000000000000000,5119.078627176855662,403701.840845836442895
1,Kirkcudbright,S20001829,3350.000000000000000,12275.018579701403723,1513640.068316628690809
2,Portpatrick,S20001947,600.000000000000000,6244.231118913673527,534939.743608675198629
3,Wigtown,S20002049,880.000000000000000,4076.236791536302917,391129.257428683748003
4,Gatehouse of Fleet,S20001753,990.000000000000000,9456.924890654448973,815121.131991124479100
5,Glenluce,S20001760,570.000000000000000,5094.536322402737824,334139.928101197583601
6,Creetown,S20001656,660.000000000000000,4328.085160486387394,331816.718887414666824
7,Dalbeattie,S20001671,4160.000000000000000,12182.376255920193216,1877745.320236478932202
8,Stranraer,S20001996,10110.000000000000000,18438.100232469536422,3815908.430805427487940
9,Castle Douglas,S20001634,4000.000000000000000,18808.168918168637902,2420392.875299843028188
10,Newton Stewart,S20001916,4030.000000000000000,13684.614748289128329,1784168.147230442147702
11,Eastriggs,S20001712,1770.000000000000000,7458.982134084876634,813359.318529882119037
12,Annan,S20001558,8760.000000000000000,13921.030325181576700,2998217.372504757251590
13,Gretna,S20001769,3110.000000000000000,7341.600857567749699,1434425.291419216431677
14,Ecclefechan,S20001713,880.000000000000000,4941.746367266477137,433878.158885366865434
15,Eaglesfield,S20001705,660.000000000000000,7119.645816058204218,410560.733927746885456
16,Dumfries,S20001693,34040.000000000000000,56417.073160766958608,13358997.336884958669543
17,Locharbriggs,S20001860,5610.000000000000000,15167.422857044059128,2372617.288874044083059
18,Lockerbie,S20001864,4190.000000000000000,11471.338758125744789,2265415.222772287204862
19,Lochmaben,S20001862,2180.000000000000000,9421.292290883900932,844877.099798682611436
20,Langholm,S20001842,1740.000000000000000,5235.557922967893319,736319.723158793756738
21,Newcastleton,S20001912,760.000000000000000,5153.692642687286025,367721.634804174245801
22,Thornhill (Dumfries and Galloway),S20002013,1670.000000000000000,6369.157713694385166,651161.051032932591625
23,Girvan,S20001756,6330.000000000000000,10509.354349827866827,2112887.770996495150030
24,Dailly,S20001670,810.000000000000000,2272.365401424547144,282831.773236510169227
25,Bellsbank,S20001590,1260.000000000000000,4007.267774775773432,411266.853056078893133
26,Dalmellington,S20001673,1340.000000000000000,4494.411959667168958,486339.044552478357218
27,Moffat,S20001891,2410.000000000000000,12094.581334417553080,1434766.694049760466442
28,Maybole,S20001880,4580.000000000000000,7134.734978384342867,1350555.386284037260339
29,Sanquhar,S20001968,1940.000000000000000,6055.344663241474336,855237.525272945640609
30,Patna,S20001931,2070.000000000000000,7238.130261180391244,752044.868559162365273
31,Kirkconnel and Kelloholm,S20001828,1970.000000000000000,7981.678490999258429,968582.655025913845748
32,New Cumnock,S20001906,2590.000000000000000,14489.900277452888986,2245287.213008360471576
33,Dalrymple,S20001675,1660.000000000000000,3914.643453128880083,503174.547577334684320
34,Hawick,S20001777,13620.000000000000000,18619.862678946414235,5217473.461703755892813
35,Denholm,S20001680,710.000000000000000,3698.966754158630465,348855.441226348397322
36,Drongan,S20001686,3060.000000000000000,4747.802015701005985,798004.923092809622176
37,Hillhead,S20001780,570.000000000000000,3561.706838028359471,229520.953464799560606
38,Coylton,S20001654,2160.000000000000000,4957.367016184637578,568897.346308074775152
39,Cumnock,S20001668,8700.000000000000000,12976.930288771713094,3691993.127965799998492
40,Ochiltree,S20001926,1040.000000000000000,4398.113737050113741,366839.531238417897839
41,Logan,S20001865,1190.000000000000000,6880.426227029114671,563080.582446681917645
42,Campbeltown,S20001624,4500.000000000000000,20956.354234210477443,2940172.613537581637502
43,Jedburgh,S20001798,3860.000000000000000,9645.176390802966125,1770454.857381095876917
44,Auchinleck,S20001566,3630.000000000000000,10849.944669887509008,2103966.752068811561912
45,Annbank,S20001559,890.000000000000000,3214.552517078493565,212013.044603771239053
46,Ancrum,S20001557,500.000000000000000,4097.782074478591312,427603.608999454183504
47,Mossblown,S20001895,2100.000000000000000,4825.005472958559039,495897.502161890792195
48,Catrine,S20001636,2020.000000000000000,6117.344449087457178,771133.130278983036987
49,Tarbolton,S20002009,1860.000000000000000,4451.270275348360883,474596.222489616076928
50,Whiting Bay,S20002047,650.000000000000000,12829.583088230761859,1329154.723013393115252
51,Muirkirk,S20001899,1340.000000000000000,7894.188653494554273,920454.363061615964398
52,Mauchline,S20001878,3900.000000000000000,7766.037901512882854,1261463.059154937975109
53,Yetholm,S20002051,620.000000000000000,6008.909275710807378,314110.203223650169093
54,Ayr,S20001574,62270.000000000000000,53326.789592157467268,26598802.319893613457680
55,Selkirk,S20001972,5380.000000000000000,12359.567633869941346,2256843.934874318074435
56,Douglas,S20001684,1460.000000000000000,4608.888313947412826,550525.878898601746187
57,St Boswells,S20001983,1440.000000000000000,4190.234652088032817,651586.966519810725003
58,Loans,S20001859,750.000000000000000,2418.699550832493969,180070.799843320652144
59,Symington (South Ayrshire),S20002005,1510.000000000000000,8400.126904833208755,800810.917931585339829
60,Newtown St Boswells,S20001919,1470.000000000000000,9397.158413250261219,1111874.222941962303594
61,Lamlash,S20001839,1100.000000000000000,16073.121619716937857,1427536.069861152209342
62,Troon,S20002026,14950.000000000000000,22342.697145894835558,6293140.920081389136612
63,Darnick,S20001677,540.000000000000000,4248.858050945314972,537891.339161075884476
64,Melrose,S20001881,2500.000000000000000,12932.335398597891981,1515162.347583478549495
65,Kelso,S20001801,6870.000000000000000,12536.471419193341717,2815720.657873466145247
66,Rigside,S20001955,620.000000000000000,3884.449822662002134,237883.514898755121976
67,Coalburn,S20001642,1220.000000000000000,5887.838455885546864,376511.360680269310251
68,Dundonald,S20001698,2570.000000000000000,7822.089030030609138,848012.649825534317642
69,Symington (South Lanarkshire),S20002006,740.000000000000000,7464.904488596062038,614525.137876316322945
70,Brodick,S20001611,890.000000000000000,11225.064803046112502,2146043.284795810002834
71,Galston,S20001746,4710.000000000000000,8164.130769566634626,1325145.610743178054690
72,Galashiels,S20001745,15490.000000000000000,24901.446363601971825,6595525.369685450568795
73,Walkerburn,S20002033,740.000000000000000,4969.113276808611772,485573.632079862523824
74,Newmilns,S20001914,2720.000000000000000,10821.221569393725076,1290242.032346381107345
75,Darvel,S20001678,3900.000000000000000,9378.724730936464766,1207773.942060484550893
76,Biggar,S20001591,2640.000000000000000,7983.772700433277350,1052226.161112064728513
77,Earlston,S20001707,1730.000000000000000,5507.558149719534413,796265.299627319560386
78,Cardrona,S20001626,890.000000000000000,2787.113349841381932,271950.295257533492986
79,Springside,S20001981,1190.000000000000000,4289.177469786821348,348504.567352016689256
80,Innerleithen,S20001788,3180.000000000000000,12473.795418685194818,1641050.084050555946305
81,Crosshouse,S20001663,2690.000000000000000,9808.959658237117765,1404683.714368656976148
82,Coldstream,S20001647,1990.000000000000000,7293.773715186066511,1026667.284079439123161
83,Lesmahagow,S20001850,4300.000000000000000,13294.314379568864751,1388933.531390591524541
84,Kilmarnock,S20001809,51370.000000000000000,43205.510356076927565,17099396.359958738088608
85,Kilmaurs,S20001810,2790.000000000000000,6018.936983292462173,902781.275188234983943
86,Irvine,S20001797,37580.000000000000000,45243.630482628963364,20273162.786018036305904
87,Peebles,S20001932,9000.000000000000000,16220.856877531265127,3855198.068510713987052
88,Fenwick,S20001729,1170.000000000000000,7728.403458281791245,470002.782484927156474
89,Kirkmuirhill and Blackwood,S20001833,4380.000000000000000,5800.890355822852143,1166179.652507397113368
90,Lanark and Kirkfieldbank,S20001840,9830.000000000000000,26671.331101499792567,4388546.047127035446465
91,Saltcoats,S20001966,31800.000000000000000,31688.553575344612909,10990375.520260294899344
92,Stow,S20001995,700.000000000000000,6195.867549286293979,452497.231922745297197
93,Carstairs Junction,S20001633,670.000000000000000,4919.128729909416506,393523.400383303815033
94,Strathaven,S20001997,8090.000000000000000,13314.115849335974417,2775635.112791223917156
95,Port Ellen,S20001943,810.000000000000000,8584.686057033928591,525566.760442297556438
96,Carstairs,S20001632,840.000000000000000,3500.748092194804030,267103.689738562621642
97,Greenlaw,S20001767,600.000000000000000,5914.462819537311589,349552.055986295570619
98,Stewarton,S20001991,7770.000000000000000,10090.781108667824810,2247710.106012067757547
99,Carnwath,S20001631,1360.000000000000000,4926.312101071242978,631342.082219535834156
100,Stonehouse,S20001994,5550.000000000000000,9308.719517146730141,1417699.378832534188405
101,Glassford,S20001757,690.000000000000000,2811.839319816665920,181286.456282290135277
102,Crossford (South Lanarkshire),S20001662,730.000000000000000,7776.687104294424898,1070460.222165037412196
103,Netherburn,S20001904,820.000000000000000,4902.342280123119963,284104.067386199720204
104,Lauder,S20001845,1850.000000000000000,6530.731858255224324,598373.769066535984166
105,Chapelton,S20001638,650.000000000000000,4020.835105734248373,285303.933151365257800
106,West Kilbride,S20002039,4860.000000000000000,11968.015855656589338,2234967.865221010055393
107,Dunlop,S20001701,1170.000000000000000,4341.506379935658515,410550.217613951361272
108,Dalry,S20001674,5250.000000000000000,12224.192573608623206,1644115.696813791757450
109,Quarter,S20001953,750.000000000000000,4516.587779018933361,389066.555852163059171
110,Carluke,S20001628,14400.000000000000000,22940.001563009918755,5397711.698623337782919
111,West Linton,S20002040,1920.000000000000000,8304.749294572131475,921785.319528023712337
112,Larkhall,S20001844,16400.000000000000000,20350.303635066331481,6285033.987179634161294
113,Eaglesham,S20001706,3470.000000000000000,7560.185005840517078,1135073.965289672603831
114,Law,S20001847,3090.000000000000000,7940.648697997548879,802577.862282475223765
115,Overtown,S20001929,2950.000000000000000,6900.235382778603707,744317.823909319238737
116,Forth,S20001739,2140.000000000000000,5276.944965574767593,636203.105331835569814
117,Duns,S20001704,2820.000000000000000,11226.404128663620213,1631168.750848001101986
118,Waterfoot,S20002034,1340.000000000000000,5201.730860216065594,397958.324805774725974
119,Uplawmoor,S20002031,690.000000000000000,4669.159628366538527,356353.342004220292438
120,Millport,S20001886,1170.000000000000000,20977.707183687449287,3667484.187766919843853
121,Morningside,S20001894,1110.000000000000000,2067.186970879889031,198384.385445159830851
122,Beith,S20001589,5940.000000000000000,10658.243032962367579,1950256.065036501968279
123,Thorntonhall,S20002016,660.000000000000000,6367.332344542939609,818959.040404043742456
124,Fairlie,S20001724,1490.000000000000000,6500.891484824347572,804431.004894490703009
125,Chirnside,S20001639,1450.000000000000000,4661.413062149662437,625611.784932719310746
126,East Kilbride,S20001709,75310.000000000000000,36428.389350032717630,24664397.552840754389763
127,Neilston,S20001903,5170.000000000000000,9945.135608968665110,1331107.813899663276970
128,Carmunnock,S20001629,1350.000000000000000,4645.504720534356238,589855.275743133504875
129,Allanton,S20001551,1140.000000000000000,6785.863769385339765,435383.805348927911837
130,Cleland,S20001641,3150.000000000000000,11736.713831429480706,866145.561666029621847
131,Lochwinnoch,S20001863,2810.000000000000000,5664.760051780572212,911620.240871195448563
132,Bowmore,S20001603,710.000000000000000,8240.350015126528888,520442.129662434337661
133,Howwood,S20001784,1600.000000000000000,4247.627770204266199,509353.833032576309051
134,Shotts,S20001974,8630.000000000000000,21502.584035624768148,2910485.027329478878528
135,Ayton,S20001575,600.000000000000000,4116.136813722635452,240751.724161752033979
136,Fauldhouse,S20001728,4900.000000000000000,8747.885892748074184,1365383.014076598221436
137,Largs,S20001843,11030.000000000000000,18063.447646062875720,3343130.216973066329956
138,Motherwell and Wishaw,S20001897,125610.000000000000000,99763.098433878170908,45530671.810429371893406
139,Penicuik,S20001934,16150.000000000000000,22393.303026031462650,4290382.602407001890242
140,Longridge,S20001868,910.000000000000000,2374.837143833486152,234496.215613740874687
141,Salsburgh,S20001965,1330.000000000000000,4821.265543824611086,341571.343644613865763
142,Addiewell and Stoneyburn,S20001548,3260.000000000000000,14450.756813554702603,1669904.035034652333707
143,Calderbank,S20001620,1560.000000000000000,2569.510688658197068,331331.331581236212514
144,Rosewell,S20001958,2020.000000000000000,4980.770193126599224,737440.894277746905573
145,Roslin,S20001959,1770.000000000000000,4247.657521651821298,635791.547437945380807
146,Pathhead,S20001930,950.000000000000000,3419.228168356439255,242102.968252991762711
147,Harthill,S20001775,3530.000000000000000,9642.465584312283681,959653.309459399897605
148,Eyemouth,S20001723,3580.000000000000000,13586.726994225749877,1577396.992208917858079
149,Rothesay,S20001962,4310.000000000000000,18083.420665398840356,2283404.291995379142463
150,Whitburn,S20002042,12730.000000000000000,17828.543890887533053,3722043.837630459573120
151,Coldingham,S20001646,500.000000000000000,3832.677282485939941,284437.941119174589403
152,Seafield,S20001971,1350.000000000000000,3243.831481882124081,318047.382981961767655
153,Bridge of Weir,S20001608,4920.000000000000000,10893.957058034204238,2089767.825016092509031
154,Loanhead and Bilston,S20001858,8260.000000000000000,17019.213566962946061,3205936.612471522763371
155,Houston,S20001783,6360.000000000000000,12335.600887987166061,2449968.603103215340525
156,Kirknewton,S20001834,1930.000000000000000,4112.020576059238010,456510.872591558261774
157,"Coatbridge, Airdrie, Chapelhall and Bargeddie",S20001644,90690.000000000000000,64068.262338620348601,24613411.665915988385677
158,Quarrier's Village,S20001952,710.000000000000000,6462.994973909956570,523599.362688435008749
159,Plains,S20001940,2920.000000000000000,6712.524264126223898,664130.008170549990609
160,Port Bannatyne,S20001942,1090.000000000000000,7921.127470908020769,487552.037926457007416
161,Blackridge,S20001596,2070.000000000000000,9229.074640894164986,1148646.578122108243406
162,Gartloch,S20001752,650.000000000000000,3991.783480903127838,731705.868871146230958
163,"Bonnyrigg, Dalkeith, Mayfield and Gorebridge",S20001602,54940.000000000000000,56543.142700892196444,17233687.971666123718023
164,Glenmavis,S20001761,2200.000000000000000,4559.580500037233833,500645.021951904811431
165,Caldercruix,S20001621,2610.000000000000000,4533.935381098883227,606853.279656688333489
166,Gifford,S20001755,790.000000000000000,5478.127800638571898,661997.039222317631356
167,Gartcosh,S20001751,2920.000000000000000,5552.605161876402235,732853.610866100178100
168,East Calder,S20001708,6430.000000000000000,13578.560426225712945,2695057.187338411808014
169,Glenboig,S20001758,2990.000000000000000,10236.596371695659400,811429.863376540481113
170,Pencaitland,S20001933,1480.000000000000000,7251.200940400149193,612695.757270408561453
171,Ormiston,S20001928,2110.000000000000000,3727.640455698181995,596622.585690715466626
172,Tarbert,S20002008,1120.000000000000000,10744.595318199601024,886840.938682585139759
173,Armadale,S20001564,12720.000000000000000,14358.280947871364333,2918204.673350553028286
174,Danderhall,S20001676,3160.000000000000000,4263.147292789482890,706300.464635737123899
175,Bathgate,S20001587,29330.000000000000000,29257.172687910930108,10440720.478652896359563
176,Whitecraig,S20002043,1330.000000000000000,2464.121393166911275,313863.284804239752702
177,Livingston,S20001857,65770.000000000000000,49885.676948348809674,30971625.886952646076679
178,Elphinstone,S20001719,590.000000000000000,2263.089034971811543,147284.685088192985859
179,Skelmorlie,S20001975,2060.000000000000000,6641.261227632465307,1003957.506956986850128
180,Kilmacolm,S20001808,3930.000000000000000,14022.742083620152698,1925940.857832311652601
181,Auchinloch,S20001567,880.000000000000000,3453.612237585497041,219924.972695640113670
182,Wattston and Greengairs,S20002035,1080.000000000000000,9308.879153161933573,678243.227350154658780
183,Dechmont,S20001679,620.000000000000000,2894.164585528420957,213424.118813784094527
184,Ratho,S20001954,2230.000000000000000,5714.767282874361626,705739.057546192198060
185,Moodiesburn and Chryston,S20001893,11760.000000000000000,20624.733409084445157,3443924.449483399745077
186,Bishopton,S20001593,7920.000000000000000,9844.232873286000540,2298730.381970722693950
187,Inverkip,S20001794,3490.000000000000000,10823.135789669751830,1227195.731530758086592
188,Torphichen,S20002021,710.000000000000000,6131.438137819001895,378384.575643201183993
189,Macmerry,S20001875,1430.000000000000000,5712.688825653550339,657933.596106016775593
190,Avonbridge,S20001573,660.000000000000000,3461.943147500100622,211174.763530197669752
191,Broxburn,S20001613,15970.000000000000000,15943.300335241157882,5317887.611839679069817
192,Tranent,S20002025,11910.000000000000000,9860.207448348732214,2805818.712533996906132
193,Slamannan,S20001976,1180.000000000000000,6065.085915342575390,440637.804788986511994
194,Tighnabruaich,S20002018,550.000000000000000,14888.039459732810428,1784206.690939177060500
195,Haddington,S20001771,10360.000000000000000,12995.923836815185496,3598661.265498200897127
196,Newbridge and Ratho Station,S20001909,1270.000000000000000,21461.431711542623816,7826575.622531321831048
197,Torrance,S20002023,2320.000000000000000,7357.690588068762736,692515.278086512233131
198,Kirkintilloch,S20001831,29960.000000000000000,26986.116367078651820,8959306.568834977224469
199,Prestonpans,S20001951,10460.000000000000000,10435.021760726447610,2443470.203098082914948
200,Kirkliston,S20001832,5280.000000000000000,5656.224768353390573,1295204.322570446878672
201,Winchburgh,S20002050,3840.000000000000000,8489.597185042324782,1031989.010688375099562
202,Twechar,S20002029,1340.000000000000000,4458.982700159997876,487181.103650482778903
203,Greater Glasgow,S20001766,1028220.000000000000000,340270.641686790564563,274424241.437649309635162
204,Erskine,S20001721,16830.000000000000000,27855.176840426545823,11927241.384801072999835
205,Bridgend,S20001609,780.000000000000000,3918.323108098380544,290404.988500725768972
206,Cockenzie,S20001645,5370.000000000000000,8044.673518122425776,1298154.395891599357128
207,California,S20001622,780.000000000000000,4526.103053812142207,279189.561552243074402
208,Whitecross,S20002044,750.000000000000000,2129.422697365281692,165966.366246681456687
209,Dumbarton,S20001692,21030.000000000000000,29213.797262298430724,7802050.590977262705564
210,Milton of Campsie,S20001889,3910.000000000000000,8861.827614131334485,1116064.510155155556276
211,Dullatur,S20001691,690.000000000000000,2982.985167232552612,355959.794781955599319
212,Langbank,S20001841,870.000000000000000,3384.168525455729650,427003.058052737382241
213,Longniddry,S20001867,2340.000000000000000,6608.224858743587902,1203900.507602979894727
214,Shieldhill,S20001973,2380.000000000000000,4650.702579855140357,515113.385869020363316
215,Linlithgow,S20001856,12840.000000000000000,16853.513373681533267,4369480.205024135299027
216,East Linton,S20001710,1790.000000000000000,6724.984905922154212,877498.323344883159734
217,Cardross,S20001627,2070.000000000000000,5552.630392829349148,759487.028900887235068
218,Cumbernauld and Croy,S20001666,52420.000000000000000,49262.452466581613407,22267543.496883030980825
219,Edinburgh,S20001714,530990.000000000000000,124949.611410329991486,125808899.096647366881371
220,Hallglen,S20001773,3080.000000000000000,4717.277028626728679,700989.734826564672403
221,Lennoxtown,S20001848,4260.000000000000000,11813.440259615323157,1343221.084589565172791
222,Kilsyth,S20001811,10380.000000000000000,16749.077565133706230,3393420.975270983297378
223,Greenock,S20001768,65690.000000000000000,62477.310535124117450,20591026.208044033497572
224,West Barns,S20002038,630.000000000000000,2416.754875650118720,264073.905087596562225
225,South Queensferry,S20001978,10400.000000000000000,16627.615655913243245,3175615.914267802145332
226,Dunbar,S20001694,10270.000000000000000,17227.969450083553966,3407699.427904689218849
227,Strathblane,S20001998,2000.000000000000000,15038.949107324517172,1251336.755437271669507
228,Aberlady,S20001543,1260.000000000000000,3264.478397050410422,405729.695897012948990
229,North Queensferry,S20001923,1050.000000000000000,6492.224925006817102,652264.953671662369743
230,Dunoon and Sandbank,S20001703,8980.000000000000000,27287.195703795990994,5015171.052478078752756
231,Vale of Leven,S20002032,24130.000000000000000,25027.727472862919967,9176593.167921751737595
232,Bo'ness,S20001600,14840.000000000000000,15555.731423059911322,5694360.390133034437895
233,Limekilns and Charlestown,S20001855,1450.000000000000000,9158.855280108718944,812370.762352968682535
234,Gullane,S20001770,2810.000000000000000,6646.009320944352112,1142555.818233437370509
235,Kilcreggan,S20001805,1280.000000000000000,17628.089274106136145,1594462.751121557317674
236,Bonnybridge,S20001601,25710.000000000000000,40272.646271590157994,8215575.536082707345486
237,Dalgety Bay and Hillend,S20001672,9710.000000000000000,11207.496860188306528,3455707.588310216087848
238,Falkirk,S20001725,103380.000000000000000,97077.346021298420965,43904480.191030248999596
239,Rosneath,S20001960,1260.000000000000000,6705.445462309014147,607414.390797507250682
240,Aberdour,S20001540,1710.000000000000000,7817.672464751949519,807569.844939433387481
241,North Berwick,S20001921,7840.000000000000000,16134.821099470709669,3909969.715882599353790
242,Killearn,S20001806,1910.000000000000000,10642.412704590822614,2681807.328870091121644
243,Burntisland,S20001617,6630.000000000000000,10481.101237136150303,2191997.585137607064098
244,High Valleyfield,S20001779,3310.000000000000000,16575.102491335685045,1373706.567436981480569
245,Cairneyhill,S20001619,2500.000000000000000,4223.669671531866697,662869.323407775722444
246,Crossford (Fife),S20001661,2320.000000000000000,7190.001866020518719,746845.741940815700218
247,Helensburgh,S20001778,15160.000000000000000,30309.245898195149493,7322933.895325141027570
248,Kinghorn,S20001814,2940.000000000000000,12478.136102362353995,1211191.687931408174336
249,Plean,S20001941,1950.000000000000000,6500.984356882927386,492991.365322673576884
250,Airth,S20001549,1960.000000000000000,5095.578454569356836,499919.767471325001679
251,Kincardine,S20001813,2940.000000000000000,6605.600102809396958,931327.049999970360659
252,Drymen,S20001689,830.000000000000000,8487.061190037122287,721431.201824568677694
253,Ardrishaig,S20001563,1220.000000000000000,10271.851376886737853,778500.682872471632436
254,Lochgilphead,S20001861,2280.000000000000000,12794.388616538628412,1909722.477258709259331
255,Balfron,S20001577,2140.000000000000000,7314.203004558453358,756226.260670312331058
256,Dunfermline,S20001699,76210.000000000000000,70003.289525532061816,28732811.493540782481432
