territory,gisname,ST_region,pop_1850,pop_1860,pop_1870,pop_1880,pop_1890,pop_1900,pop_1910,pop_1920,pop_1930,pop_1940,pop_1950
Algeria,,Algeria,5703891.682,5877337.086,5936375.644,6056177.423,6178396.918,6303082.92,6430285.205,6494878.193,7103668.279,7616884.647,8753000
Angola,,NA,1940110.384,1959599.026,1979283.434,2019227.281,2059977.232,2065857.93,2107548.933,2128719.516,2328252.64,2496461.137,4148000
Botswana,,So. Africa,274442.2619,277199.0674,279983.5654,285633.9035,291398.2708,297278.9686,303278.3446,306324.812,335037.823,359243.1895,412827
Burundi,,Kenya,1665668.122,1682399.959,1699299.869,1733593.377,1768578.962,1768578.962,1804270.589,1822394.704,1993214.817,2137217.947,2456000
Cameroon,,NA,5429287.662,5204467.479,5056270.401,4975751.042,4887575.428,4778759.985,4998689.112,5024678.108,5413459.67,5717985.859,4466000
Central African Rep,,NA,2714643.831,2602233.739,2528135.2,2487875.521,2443787.714,2389379.992,2499344.556,2512339.054,2706729.835,2858992.929,1314000
Chad,,Chad,2114973.679,2031881.383,1952053.586,1894276.268,1838209.057,1783801.335,1893765.899,1912789.005,2050981.638,2155869.11,2429000
Congo-Brazzaville,,Loango,599670.1521,570352.3566,576081.6146,593599.2524,605578.6572,605578.6572,605578.6572,599550.0491,655748.1972,703123.8198,808000
Congo-Kinshasa,,NA,26892923.56,27983685.63,29118917.03,30301299.77,30911042.82,31534857.44,32171261.25,32494425.43,35540253.77,38107918.71,12184000
Dahomey,,NA,13446461.78,13991842.82,14559458.52,15150649.89,15455521.41,15767428.72,16085630.62,16247212.72,17770126.89,19053959.35,2005000
Djibouti,,Horn,44647.87583,44203.40088,43763.35073,43763.35073,43763.35073,44646.5373,45547.54744,46005.07803,50317.31216,53952.57033,62000
Egypt,,Egypt,13401813.9,13947639.42,14515695.16,15106886.54,15411758.06,15722782.19,16040083.08,16201207.64,17719809.58,19000006.78,21834000
Equatorial Guinea,,NA,13263727.71,13131685.71,13000958.21,13000958.21,13000958.21,13046804.65,13851090.5,14524990.36,15886473.96,17034218.78,226000
Eritrea,,Horn,758734.0471,751180.7587,743702.6643,743702.6643,743702.6643,789549.1031,838221.8004,846641.8392,926000.8576,992901.3346,1141000
Ethiopia,,Horn,12504993.66,12380504.95,12257255.54,12257255.54,12257255.54,12257255.54,13012868.7,13678348.52,14960473.1,16041317.44,18434000
Gabon,,Forest,351335.0936,354864.2969,358428.9514,365662.3929,373041.8123,373041.8123,373041.8123,369328.1364,396010.8638,416262.9117,469000
Gambia,,Senegambia,187806.4058,189692.9437,191598.4322,199401.8021,207522.9857,211710.9995,215983.5314,218153.1119,238601.448,255839.6077,294000
Ghana,,NA,3810277.593,3838260.123,3869897.022,3947995.272,3990899.857,4034863.317,4060274.634,4138712.32,4568325.002,4898371.264,5243000
Guine-Bissau,,Upper Guinea,352935.6504,345940.1281,342496.2527,349408.157,356459.5503,363653.2474,370992.1203,374718.7807,409842.6232,439452.3874,505000
Guinee,,Upper Guinea,1724121.772,1724121.772,1741440.782,1776584.735,1812437.926,1812437.926,1849014.67,1905239.983,2125500.654,2279060.995,2619000
Ivory Coast,,Grain Coast,1733220.171,1768198.223,1785959.987,1822002.38,1822002.38,1858772.143,1840267.844,1858753.556,2032981.725,2179857.882,2505000
Kenya,,Kenya,3960781.631,4000568.159,4040754.347,4122300.662,4205492.661,4205492.661,4290363.554,4420826.032,4931908.161,5288222.095,6077000
Lesotho,,So. Africa,487954.0831,492855.6405,497806.4346,507852.6481,518101.6038,528557.3932,539224.1906,544640.7624,595692.0504,638728.8165,734000
Liberia,,Upper Guinea,553287.531,553287.531,558845.3708,570123.4087,581629.0484,593366.8829,605341.5982,611422.3273,668733.31,717047.0637,824000
Libya,,Libya,594935.9627,619166.3564,644383.599,677337.4614,704923.8813,733633.8337,755942.3599,763535.8918,835105.0679,895438.6269,1029000
Madagascar,,Madagascar,3111356.641,3049686.576,2989238.871,2959480.64,2930018.656,2871942.883,3048987.231,3141701.619,3436185.479,3684438.432,4234000
Malawi,,NA,3003814.824,2924407.265,2847255.455,2823629.911,2805001.454,2814664.342,2977959.543,3058162.107,3317354.342,3527809.903,2881000
Mali,,W. Sudan,2520183.391,2445590.441,2373205.31,2349579.767,2326189.419,2326189.419,2469590.143,2544686.075,2755748.212,2925629.602,3329000
Mauritania,,Senegambia,483631.4325,478816.8237,474050.1448,474050.1448,478812.0355,488474.9237,508369.4004,513476.0322,561606.1293,602180.3011,692000
Morocco,,Morocco,5176347.594,5387168.502,5606575.668,5893296.688,6133317.308,6383113.424,6577212.778,6643281.671,7265982.19,7790925.196,8953000
Mozambique,,NA,2007075.814,1960972.928,1932227.308,1923308.61,1914686.904,1899172.97,1994285.255,2047672.621,2221394.967,2362507.978,6324595
Namibia,,So. Africa,335566.8612,338937.6707,342342.3404,349251.1386,356299.363,356299.363,356299.363,359878.4329,393611.2322,422048.3324,485000
Niger,,C. Sudan,1671508.952,1622035.258,1589884.967,1574057.472,1558387.541,1542873.607,1637985.892,1687794.188,1827783.735,1940459.646,2208000
Nigeria,,NA,4657585.268,4602890.652,4596336.405,4658140.87,4739718.657,4787981.073,4884607.144,4933673.61,5396125.944,5785978.066,33960000
Rwanda,,Tanganyika,1791273.349,1720898.471,1653288.454,1588334.675,1572522.613,1556867.962,1588287.057,1604241.592,1754613.369,1881378.34,2162000
Senegal,,Senegambia,1560983.083,1576663.346,1624606.931,1724757.765,1795003.24,1831228.135,1868184.083,1886950.216,2063821.368,2212925.586,2543000
Sierra Leone,,Upper Guinea,1305328.835,1305328.835,1318441.02,1345048.43,1372192.803,1399884.976,1428136.004,1442481.801,1577691.207,1691674.141,1944000
Somalia,,NA,7056772.158,7127517.651,7198973.791,7343973.483,7491899.41,7796457.308,8113419.159,8194778.798,8961594.878,9608028.798,2264000
South Africa,,So. Africa,7042772.158,7113517.651,7184973.791,7329973.483,7477899.41,7782457.308,8099419.159,8180778.798,8947594.878,9594028.798,11025050
Spanish Sahara,,NA,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Sudan,,NA,6652025.043,6275932.124,5921929.945,5590606.203,5434536.884,5283276.694,5600818.995,5879003.761,6430065.552,6894616.366,9190000
Swaziland,,So. Africa,181487.0091,183310.0679,185151.4396,188887.974,192699.9153,196588.7852,200556.1363,202570.7468,221558.4874,237565.35,273000
Tanganyika,,Tanganyika,6470538.034,6092622.056,5736778.506,5401718.229,5241836.968,5086687.909,5400262.859,5676433.015,6208507.065,6657051.016,7650000
Togo,,Gold Coast,848944.7154,857472.4671,866085.8812,901359.5966,919549.9016,938107.3044,957039.2136,986141.108,1078575.933,1156499.451,1329000
Tunisia,,Tunisia,2300324.19,2370273.039,2394082.717,2442397.613,2491687.549,2541972.205,2593271.652,2619321.378,2864840.515,3071815.698,3530000
Uganda,,Kenya,3499146.199,3464311.779,3429824.141,3429824.141,3429824.141,3569513.106,3641549.319,3752282.487,4186075.744,4488505.77,5158000
Upper Volta,,W. Sudan,3106331.424,3014389.534,2925168.96,2896048.553,2867218.042,2867218.042,3043971.123,3136532.979,3363137.037,3535128.309,3983000
Zambia,,NA,2345286.463,2275870.151,2186456.615,2079561.036,2038342.147,2018050.207,2018050.207,2038321.764,2229381.556,2390446.947,2413000
Zimbabwe,,Mozambique,2345286.463,2275870.151,2186456.615,2079561.036,2038342.147,2018050.207,2018050.207,2038321.764,2229381.556,2390446.947,2747000